"clean_street","max_house_number"
"Braeuhausstrasse",11
"Breiteranzer",2
"Brienner Strasse",56
"Brudergang",2
"Bruderhofstrasse",9
"Brudermuehlstrasse",21
"Brudermuehlweg",17
"Bruderstrasse",10
"Brumerhof",2
"Brunngasse",12
"Brunnstrasse",12
"Brunnthal",1
"Brunnthalerstrasse",12
"Buerkleinstrasse",17
"Burg",9
"Burgstrasse",19
"Buttermelcherstrasse",21
"Candidplatz",3
"Candidstrasse",4
"Christophstrasse",14
"Claude-Lorrain-Strasse",7
"Clemensstrasse",74
"Comeniusstrasse",3
"Conenstrasse",8
"Corneliusstrasse",48
"Dachauer Strasse",155
"Damenstiftstrasse",16
"Dammstrasse",42
"Deroystrasse",10
"Destouchesstrasse",3
"Dianastrasse",3
"Dienerstrasse",90
"Dreifaltigkeitsplatz",3
"Dreimuehlenstrasse",17
"Duernbraeugasse",1
"Dultplatz",25
"Dultstaendzwinger",3
"Dultstrasse",13
"Edlingerplatz",1
"Edlingerstrasse",28
"Eggernstrasse",9
"Ehrengutstrasse",7
"Eingstrasse",8
"Einschuett",12
"Eintrachtstrasse",36
"Eisbachstrasse",12
"Eisenmannstrasse",4
"Eisner - Weg",2
"Elisenstrasse",8
"Elsassstrasse",33
"Elvirastrasse",29
"Emanuelstrasse",27
"Englischer Garten",6
"Enhuberstrasse",12
"Entenbachstrasse",197
"Erhardtstrasse",31
"Erzgiessereistrasse",47
"Erzgiesserstrasse",37
"Exc.",62
"Fabrikstrasse",28
"Fabrikweg",10
"Faerbergraben",39
"Falkengaessel",55
"Falkenstrasse",55
"Falkenthurmg",5
"Falkenturmstrasse",6
"Fallmerayerstrasse",28
"Fasanengarten",1
"Fasaneriestrasse",7
"Fasanerieweg",18
"Feilitzschstrasse",17
"Feldweg",7
"Fendstrasse",6
"Filserbraeugasse",7
"Findlingstrasse",48
"Fingergasse",9
"Finkenstrasse",4
"Fischergasse",483
"Fischerstrasse",7
"Fleischerstrasse",16
"Fliegenstrasse",8
"Floss_r",2
"Flossstrasse",6
"Flurgasse",2
"Flurstrasse",5
"Forstenrieder Strasse",180
"Franzstrasse",17
"Frauenplatz",15
"Frauenstrasse",25
"Fraunhoferstrasse",69
"Freibad",22
"Freibadstrasse",41
"Freystrasse",10
"Friedenheimer Strasse",1
"Friedenstrasse",6
"Friedhofgasse",16
"Friedhofstrasse",16
"Friedrichstrasse",7
"Fruehlingstrasse",32
"Frundsbergstrasse",3
"Fuerstenfeldberg",11
"Fuerstenfelder Strasse",48
"Fuerstenstrasse",59
"Fuetererstrasse",19
"Fuststrasse",5
"Gabelsbergerstrasse",86
"Gaensbuehel",9
"Gaertnerplatz",5
"Gaertnerviertel",7
"Gaertnerweg",8
"Galeriestrasse",25
"Ganghoferstrasse",113
"Garten",2
"Gartenhaus",93
"Gartenstrasse",88
"Gegenueber der Turnschule",7
"Generstrasse",11
"Georgenstrasse",66
"Germaniastrasse",4
"Gewuerzmuehlstrasse",10
"Geyerstrasse",16
"Giesingerweg",41
"Giglgasse",1
"Giselastrasse",31
"Glockenstrasse",16
"Glostenstrasse",4
"Glueckstrasse",13
"Goerresstrasse",48
"Goetheplatz",1
"Goethestrasse",60
"Goethestrasse-Gottesackerweg",44
"Gollierstrasse",39
"Gottesackerweg",33
"Grafenwinkel",2
"Grasserstrasse",7
"Grubenstrasse",60
"Gruberstrasse",58
"Grubmstrasse",51
"Gruenwalder Strasse",40
"Gruftstrasse",7
"Hackengasse",2
"Hackenstrasse",5
"Hackerweg",2
"Hadererweg",38
"Haeberlstrasse",26
"Hafnergaesschen",1
"Hahnenstrasse",3
"Haidhausen",3
"Haidhauser Strasse",12
"Haihd. a. d. Schwaig",12
"Hans-Mielich-Platz",8
"Harlaching",6
"Harlachinger Strasse",12
"Harlachingermuehlweg",1
"Hartmannstrasse",8
"Hasenstrasse",7
"Haslangstrasse",4
"Haydnstrasse",11
"Hebammenstrasse",3
"Heiliggeiststrasse",8
"Hellabrunn",1
"Herbststrasse",134
"Hermann-Sack-Strasse",10
"Hermann-Schmid-Strasse",3
"Hermannstrasse",87
"Herrnstrasse",55
"Herzog-Heinrich-Strasse",40
"Herzog-Max-Burg",3
"Herzog-Max-Strasse",9
"Herzog-Rudolf-Strasse",11
"Herzog-Wilhelm-Strasse",33
"Herzogspitalstrasse",23
"Herzogstrasse",23
"Hesseloher-Bahnhaus",2
"Hesseloherstrasse",13
"Hessstrasse",92
"Hettergasse",4
"Heumark",14
"Heumarkt",18
"Heustrasse",36
"Hildegardstrasse",28
"Himbselstrasse",1
"Hirschau",21
"Hirschgartenallee",13
"Hirtenstrasse",25
"Hl. Geistg",1
"Hochbrueckenstrasse",20
"Hochstrasse",68
"Hoechst",63
"Hoeckhstrasse",37
"Hoerwarthstrasse",8
"Hofflatt",4
"Hofgartenstrasse",5
"Hofgraben",4
"Hofstatt",8
"Hofwinkel",3
"Hohenzollernstrasse",87
"Holzapfelkreut",2
"Holzapfelstrasse",13
"Holzgartenstrasse",2
"Holzhofstrasse",5
"Holzstrasse",29
"Hopfenstrasse",8
"Hotterstrasse",9
"Huebnerstrasse",8
"Humboldtstrasse",18
"Hundskugel",8
"I. Wintergart. Max-Josephpl",1
"Ickstattstrasse",32
"Im Waisenhaus Findlingstrasse",3
"In Haidhausen.",410
"In Schwabing",98
"In der Grube",48
"Inn. Wienerst",11
"Innere Birkenau",26
"Innere Isarstrasse",16
"Innere Schleissheimer Strasse",136
"Innere Wiener Strasse",31
"Irrenweg",1
"Isarauen",5
"Isartorplatz",8
"Ismaninger Strasse",43
"Jaegergasse",10
"Jaegerhaeuseln",29
"Jaegerstrasse",18
"Jaegerwirtstrasse",29
"Jagdstrasse",8
"Jahnstrasse",42
"Johannisplatz",22
"Johannisst",2
"Jos.-Spitalg",5
"Josephspitalstrasse",18
"Josephstrasse",3
"Jugendstrasse",8
"Jungfernturmstrasse",2
"Kaiser-Ludwig-Platz",8
"Kaiserstrasse",63
"Kanalstrasse",74
"Kanglstrasse",16
"Kapellenstrasse",5
"Kapellenweg",6
"Kapuzinerplatz",5
"Kapuzinerstrasse",77
"Karl-Theodor-Strasse",30
"Karlsplatz",50
"Karlstrasse",164
"Karmeliterstrasse",4
"Karolinenplatz",6
"Karolinenstrasse",3
"Kasernstrasse",65
"Kaufingerstrasse",52
"Kaulbachstrasse",90
"Kazmairstrasse",47
"Keferstrasse",11
"Kegelhof",12
"Kellerstrasse",37
"Khidlerstrasse",57
"Kiesgasse",1
"Kiesstrasse",5
"Kingergasse",2
"Kirchen",29
"Kirchenstrasse",33
"Kirchhoffstrasse",2
"Kirchplatz",34
"Kirchplatzstrasse",35
"Kistlerstrasse",9
"Klarastrasse",10
"Kleestrasse",13
"Klenzestrasse",103
"Kloetzengasse",4
"Knoebelstrasse",18
"Kochstrasse",10
"Koeniginstrasse",121
"Koenigsplatz",3
"Koernerstrasse",3
"Kohleninsel",5
"Kohlstrasse",5
"Kolosseumstrasse",4
"Kraemerstrasse",70
"Krankenhausstrasse",5
"Kreittmayrstrasse",20
"Kreuzplaetzchen",7
"Kreuzstrasse",395
"Kriechbaumhof",4
"Kudblgasse",1
"Kuechelbaeckerstrasse",3
"Kuehbachstrasse",22
"Kugelhof",11
"Kuglerberg",9
"Lachnerstrasse",22
"Laemmerstrasse",9
"Laendgasse",1
"Laendstrasse",6
"Landsberger Strasse",216
"Landschaftstrasse",12
"Landstrasse",29
"Landwehrstrasse",87
"Langerstrasse",5
"Lazarettstrasse",60
"Ledererstrasse",26
"Leonhardstrasse",16
"Leopoldstrasse",93
"Lerchen",13
"Lerchenstrasse",57
"Lessingstrasse",12
"Liebigstrasse",41
"Ligsalzstrasse",44
"Lilienstrasse",308
"Lindwurmstrasse",223
"Linprunstrasse",101
"Loewengrube",59
"Lohstrasse",74
"Loristrasse",13
"Lothringer Strasse",24
"Lothstrasse",66
"Ludwigstrasse",31
"Lueg ins Land",6
"Luisenstrasse",91
"Luitpoldplatz",1
"Luitpoldstrasse",15
"Maderbraeustrasse",5
"Maderstrasse",3
"Maffeistrasse",18
"Magazinstrasse",16
"Mai-r.",9
"Maillingerstrasse",53
"Mais.",41
"Maistrasse",73
"Mandlstrasse",12
"Marburger Strasse",3
"Maria-Josepha-Strasse",7
"Maria-Theresia-Strasse",33
"Mariahilfplatz",42
"Mariahilfstrasse",25
"Mariannenplatz",4
"Mariannenstrasse",9
"Marienplatz",39
"Marienstrasse",25
"Marktstrasse",14
"Marschallstrasse",24
"Marsfeldstrasse",163
"Marsplatz",10
"Marsstrasse",40
"Marstallplatz",6
"Marstallstrasse",15
"Massestrasse",25
"Massmannplatz",10
"Massmannstrasse",30
"Mathildenstrasse",10
"Max-II-Kaserne",6
"Max-Joseph-Platz",3
"Max-Joseph-Strasse",8
"Maxburgstrasse",3
"Maximilianshuette Karlsstrasse",50
"Maximiliansplatz",26
"Maximilianstrasse",45
"Mazaristrasse",2
"Meindlstrasse",58
"Menterschwaige",1
"Mercystrasse",5
"Metzgerstrasse",5
"Metzstrasse",32
"Mezarigasse",1
"Milchstrasse",20
"Mittererstrasse",32
"Mitterweg",25
"Moehlstrasse",37
"Mondstrasse",32
"Montenstrasse",3
"Morassistrasse",26
"Mozartstrasse",15
"Mueh###",21
"Muehlbachstrasse",24
"Muehldorfstrasse",20
"Muehlenstrasse",1
"Muehlstrasse",21
"Muellerstrasse",59
"Muenzstrasse",9
"Muetterstrasse",19
"Museumstrasse",2
"Neue Pferdstrasse",7
"Neuhauser Strasse",53
"Neuhauser Weg",6
"Neureutherstrasse",15
"Neuschwabing",2
"Neuturmstrasse",53
"Niedermayerstrasse",11
"Nikolaistrasse",9
"Nockherstrasse",54
"Nordendstrasse",81
"Nosengasse",12
"Nussbaumstrasse",5
"Nymphenburger Strasse",218
"Oberanger",61
"Obere Angerstrasse",56
"Obere Feldstrasse",48
"Obere Gartenstrasse",18
"Obere Grasstrasse",10
"Obere Isaranlage",1
"Obere Isarau",2
"Obere Isarstrasse",18
"Obere Johannisstrasse",3
"Obere Wasserstrasse",4
"Obere Weidenstrasse",8
"Oberfeldstrasse",19
"Oberkaiblmuehlweg",4
"Oberlaenderstrasse",40
"Obermaierstrasse",2
"Occamstrasse",23
"Odeonsplatz",18
"Ohlmuellerstrasse",53
"Orlandostrasse",8
"Orleansplatz",6
"Orleansstrasse",89
"Osterwaldstrasse",12
"Ottostrasse",16
"Palmstrasse",8
"Pappenheimstrasse",17
"Paradiesstrasse",6
"Pariser Platz",3
"Pariser Strasse",50
"Parkstrasse",35
"Pasinger Landstrasse",12
"Pasinger Strasse",34
"Paulanerplatz",40
"Pechwinkel",8
"Perlacher Weg",19
"Perlachweg",2
"Perusastrasse",4
"Pesenbachstrasse",5
"Petersplatz",12
"Pfandhausstrasse",9
"Pfarrhofstrasse",10
"Pfarrstrasse",6
"Pfarrweg",11
"Pfisterstrasse",10
"Pflugstrasse",3
"Pilgersheimer Strasse",28
"Pilotystrasse",12
"Platzl",42
"Plinganserstrasse",140
"Poetschnerstrasse",11
"Prannerstrasse",26
"Praterstrasse",13
"Preysingstrasse",80
"Priel",12
"Prielmayerstrasse",20
"Prielmeiergasse",3
"Prinzenstrasse",17
"Prinzregentenstrasse",12
"Promenadeplatz",91
"Promenadestrasse",43
"Puetrichstrasse",8
"Quaistrasse",8
"Quellenstrasse",71
"Radl###eg",1
"Radlsteg",3
"Rambergstrasse",7
"Ramersdorf",44
"Ramersdorfer Feldweg",40
"Ramersdorfer Lueften",40
"Reichenbachstrasse",41
"Renatastrasse",14
"Rengeweg",15
"Rennbahnstrasse",11
"Residenzstrasse",27
"Riedlstrasse",6
"Riesenfeld",4
"Riesenfeldplatz",10
"Riesenfeldstrasse",30
"Rindermarkt",23
"Ringseisstrasse",14
"Ringstrasse",28
"Ripflstrasse",199
"Rochusberg",10
"Rochusstrasse",6
"Roemerstrasse",46
"Romanstrasse",56
"Rondell Neuwittelsbach",8
"Rosenbuschstrasse",6
"Rosenheimer Strasse",175
"Rosenstrasse",13
"Rosental",21
"Rossschwemme",5
"Rothmundstrasse",1
"Rottawstrasse",17
"Rottmannstrasse",26
"Rueckertstrasse",2
"Ruffinistrasse",4
"Ruhestrasse",15
"Rumfordstrasse",48
"Rupprechtstrasse",16
"Saeggasse",7
"Saegstrasse",7
"Salpeterstrasse",1
"Salvatorplatz",4
"Salvatorstrasse",25
"Salzstrasse",30
"Sammtstrasse",5
"Samtgasse",3
"Sandgrube",142
"Sandgrubenweg",9
"Sandstrasse",124
"Sattlerstrasse",1
"Schaefflerstrasse",26
"Schaeftlarnstrasse",9
"Schellingstrasse",301
"Schiessstaettstrasse",27
"Schillerstrasse",50
"Schiltbergerstrasse",2
"Schlachthausstrasse",31
"Schleissheimer Strasse",136
"Schlosserstrasse",10
"Schlossstrasse",9
"Schmellerstrasse",34
"Schmidgasse",3
"Schmidstrasse",3
"Schmied-Kochel-Strasse",13
"Schmiedgasse",5
"Schneiderstrasse",7
"Schnorrstrasse",10
"Schoenfeldstrasse",22
"Schoenstrasse",2
"Schommerstrasse",23
"Schramgasse",1
"Schrammegasse",3
"Schrammerstrasse",18
"Schraudolphstrasse",44
"Schrenkstrasse",13
"Schubertstrasse",2
"Schuetzenstrasse",21
"Schulhausstrasse",21
"Schulstrasse",24
"Schulweg",50
"Schulz.",2
"Schuthausgasse",9
"Schwabing",94
"Schwanthalerhoehe",76
"Schwanthalerstrasse",92
"Schwarzstrasse",13
"Schwindstrasse",58
"Schyrenstrasse",4
"Sckellstrasse",12
"Sebastiansgasse",7
"Sebastiansplatz",11
"Sedanstrasse",51
"Seeaustrasse",2
"Seeriederstrasse",5
"Seestrasse",14
"Seitzstrasse",5
"Sendlinger Feldweg",3
"Sendlinger Landstrasse",68
"Sendlinger Strasse",89
"Sendlinger Weg",4
"Sendlinger-Tor-Platz",11
"Senefelderstrasse",17
"Senserstrasse",22
"Siebenbrunn",1
"Siegesstrasse",33
"Siegfriedstrasse",15
"Sigmundstrasse",7
"Singlspielerstrasse",1
"Singstrasse",45
"Sommerstrasse",7
"Sonnenstrasse",31
"Sophienstrasse",7
"Soyerhof",1
"Spatenstrasse",3
"Spatzenstrasse",2
"Spicherenstrasse",1
"Spitalstrasse",13
"Sporerstrasse",4
"St.-Anna-Platz",9
"St.-Anna-Strasse",19
"St.-Jakobs-Platz",14
"St.-Paul-Strasse",10
"Stadelheim",12
"Staubstrasse",15
"Staudstrasse",7
"Steinhausen",3
"Steinheilstrasse",13
"Steinsdorfstrasse",21
"Steinstrasse",85
"Stephanstrasse",1
"Sterneckerstrasse",3
"Sternstrasse",47
"Stiglmaierplatz",2
"Taegergasse",5
"Tal",79
"Tannenstrasse",12
"Taschenturmgaesschen",9
"Tattenbachstrasse",15
"Tegernseer Landstrasse",195
"Tegernseer Strasse",2
"Thalkirchner Platz",44
"Thalkirchner Strasse",290
"Theatinerstrasse",54
"Theklastrasse",4
"Theresienhoehe",21
"Theresienstrasse",160
"Theresienwiese",2
"Thiereckstrasse",4
"Thierschplatz",4
"Thierschstrasse",51
"Thorplatz",8
"Thorwaldsenstrasse",35
"Tivoli",5
"Trauerstrasse",30
"Triftstrasse",10
"Tristrasse",9
"Trogerstrasse",25
"Tuerkengraben",62
"Tuerkenstrasse",103
"Tulbeckstrasse",25
"Tumblingerstrasse",52
"Uhlandstrasse",8
"Uhlmannstrasse",68
"Ungererstrasse",20
"Untere Angerstrasse",35
"Untere Feldstrasse",15
"Untere Gartenstrasse",15
"Untere Grasstrasse",13
"Untere Johannisstrasse",5
"Untere Weidengasse",2
"Untere Weidenstrasse",11
"Unterer Anger",46
"Ursulastrasse",10
"Utzschneiderstrasse",27
"Veterinaerstrasse",11
"Viehhofstrasse",34
"Viktoriastrasse",7
"Viktualienmarkt",18
"Volkartstrasse",56
"Von-der-Tann-Strasse",30
"Vorst. Au",574
"Vorstadt-Au",265
"Wagnerstrasse",4
"Wallstrasse",3
"Walserstrasse",14
"Waltherstrasse",38
"Warthofstrasse",1
"Wassergang",2
"Wasserstrasse",31
"Watzmannstrasse",30
"Weinbauernstrasse",12
"Weinbierlhof",9
"Weinstrasse",23
"Weissenburger Strasse",44
"Wendelsteinstrasse",11
"Wendlstrasse",4
"Werneckstrasse",29
"Westendstrasse",270
"Westenriederstrasse",34
"Westermuehlstrasse",26
"Wiener Platz",19
"Wienerstrasse",71
"Wiesenstrasse",12
"Wilhelmstrasse",43
"Windenmacherstrasse",8
"Winthirstrasse",39
"Winzererstrasse",40
"Wirtstrasse",26
"Wittelsbacherplatz",4
"Wittelsbacherstrasse",16
"Woerthplatz",71
"Woerthstrasse",51
"Wolfgangstrasse",16
"Wurzerstrasse",26
"Wurzerstrassr",8
"Zehentbauernstrasse",11
"Zenettiplatz",2
"Zenettistrasse",31
"Zentnerstrasse",13
"Zeughausplatz",1
"Zieblandstrasse",45
"Zollstrasse",4
"Zugspitzstrasse",72
"Zweibrueckenstrasse",39
"Zweigstrasse",10
"Zwingerstrasse",2
"_",1
